Name,Caliber,status,Height,position,weight,rank,homeTown,Speed(base),Strength(base),Agility(base),Acceleration(base),Jumping(base),Awareness(base),Stamina(base),Injury(base),"Break Tackle(rushing)",Trucking(rushing),Elusiveness(rushing),"Stiff Arm(rushing)","Spin Move(rushing)","Juke Move(rushing)",Carrying(rushing),"Ball Carrier Vision(rushing)","Pass Block(blocking)","Run Block(blocking)","Impact Blocking(blocking)",Catching(receiving),"Spectacular Catch(receiving)","Catch In Traffic(receiving)","Route Running(receiving)",Release(receiving),Tackle(tackling),"Hit Power(tackling)",Pursuit(tackling),"Play Recognition(tackling)","Power Moves(blockingShedding)","Finesse Moves(blockingShedding)","Block Shedding(blockingShedding)","Man Coverage(coverage)","Zone Coverage(coverage)",Press(coverage),"Throw Power(passing)","Throw Accuracy(passing)","Kick Power(kicking)","Kick Accuracy(kicking)","School 1","School 2","School 3","School 4","School 5","School 6","School 7","School 8","School 9","School 10"
"Jerrell Bentley",3,"10 Schools Remaining","6'3""",TE,"238 lbs",1273,"Wake Forest",C,D,D,A,D,,C,C,D,C,D,C,D,C,D,D,D,D,D,C,D,D,C,D,,,,,,,,,,,,,,,"North Carolina",,,,,,,,,
"Tramon Leslie",3,"10 Schools Remaining","6'2""",QB,"207 lbs",1274,Albertville,D,D,D,D,D,,C,B,D,D,D,D,D,C,D,D,,,,,,,,,,,,,,,,,,,C,D,,,"Southern Miss",,,,,,,,,
"Andy Mixon",3,"10 Schools Remaining","6'5""",MLB,"239 lbs",1275,Moody,C,B,D,B,D,,B,B,,,,,,,,,,,,,,,,,D,C,C,D,D,D,C,D,D,D,,,,,Arkansas,,,,,,,,,
"Vinnie Grier",3,"10 Schools Remaining","6'0""",QB,"196 lbs",1276,Winchester,D,D,D,D,C,,B,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,C,C,,,Clemson,Tennessee,Florida,"Florida State",,,,,,
"Tony McCray",3,"10 Schools Remaining","5'9""",CB,"160 lbs",1277,"Safety Harbor",B,D,B,B,B,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,C,,,,,Louisville,,,,,,,,,
"Peter McCullough",3,"10 Schools Remaining","6'1""",HB,"192 lbs",1278,Corinth,B,D,B,B,C,,B,C,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,B,,,,,,,,,,,,,,,"UL Lafayette",,,,,,,,,
"Robert Harris",3,"10 Schools Remaining","6'5""",T,"289 lbs",1279,Trinidad,D,C,D,B,D,,D,C,,,,,,,,,D,C,C,,,,,,,,,,,,,,,,,,,,Nebraska,,,,,,,,,
"Danny Hurd",3,"10 Schools Remaining","6'0""",OLB,"204 lbs",1280,Richland,B,D,D,A,D,,C,C,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,"Mississippi State",,,,,,,,,
"Robert Johnson",3,"10 Schools Remaining","6'1""",OLB,"230 lbs",1281,Daphne,D,C,D,C,D,,B,B,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,"Mississippi State",,,,,,,,,
"Blake Larson",3,"Soft Commit","5'10""",P,"203 lbs",1282,Livingston,D,D,D,D,D,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,D,Wisconsin,"South Carolina",Georgia,"Virginia Tech",,,,,,
"Chris Brady",3,"10 Schools Remaining","6'5""",T,"290 lbs",1283,Milan,D,C,D,A,D,,D,C,,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,Auburn,Texas,,,,,,,,
"Peter Holt",3,"10 Schools Remaining","6'0""",WR,"186 lbs",1284,Mebane,C,D,D,C,C,,C,D,D,D,D,D,D,D,B,B,,,,C,D,D,C,D,,,,,,,,,,,,,,,Auburn,,,,,,,,,
"William Porter",3,"10 Schools Remaining","6'3""",C,"292 lbs",1285,Columbia,C,B,C,A,D,,D,B,,,,,,,,,D,C,D,,,,,,,,,,,,,,,,,,,,"Southern Miss",Auburn,Texas,Wisconsin,,,,,,
"Phillip Benjamin",3,"10 Schools Remaining","6'1""",TE,"245 lbs",1286,Fayetteville,D,C,B,D,B,,C,C,C,D,C,D,D,D,D,D,D,D,D,C,D,C,D,C,,,,,,,,,,,,,,,"Ole Miss",Tennessee,,,,,,,,
"Anthony Watkins",3,"10 Schools Remaining","6'3""",DT,"297 lbs",1287,"St. Charles",D,C,D,D,D,,D,C,,,,,,,,,,,,,,,,,C,D,D,D,D,C,C,,,,,,,,Connecticut,,,,,,,,,
"Jacob Chapman",3,"10 Schools Remaining","6'1""",MLB,"241 lbs",1288,"San Rafael",C,D,D,C,C,,B,B,,,,,,,,,,,,,,,,,D,B,C,D,B,D,C,C,D,D,,,,,"Boise State","Arizona State","San Diego State",,,,,,,
"Curtis Williams",3,"10 Schools Remaining","5'10""",CB,"167 lbs",1289,"Sans Souci",B,D,B,A,B,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,C,C,D,,,,,"NC State","South Carolina","Mississippi State",Navy,"North Carolina",Florida,,,,
"Justin Webb",3,"10 Schools Remaining","6'3""",ATH,"232 lbs",1290,"Nichols Hills",C,C,C,B,C,,C,C,D,D,D,D,D,C,D,D,,,,D,D,D,D,D,D,C,B,C,D,D,D,C,D,D,B,D,,,Utah,,,,,,,,,
"Pat Pollard",3,"10 Schools Remaining","6'4""",DE,"260 lbs",1291,York,C,C,D,B,D,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,C,,,,,,,,"Mississippi State","Georgia Tech",Alabama,"South Carolina",,,,,,
"Andrew McCarthy",3,"10 Schools Remaining","6'0""",OLB,"210 lbs",1292,Columbia,B,D,D,B,D,,B,C,,,,,,,,,,,,,,,,,D,C,C,D,D,D,C,D,D,D,,,,,Vanderbilt,"West Virginia","NC State","Wake Forest","Virginia Tech",,,,,
"Eddie Keenan",3,"10 Schools Remaining","5'10""",HB,"173 lbs",1293,Madison,B,D,C,B,C,,C,B,D,D,C,D,C,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,FIU,,,,,,,,,
"Don Haas",3,"10 Schools Remaining","6'7""",C,"294 lbs",1294,Wausau,D,C,C,B,D,,D,C,,,,,,,,,C,D,D,,,,,,,,,,,,,,,,,,,,Northwestern,"Iowa State",,,,,,,,
"Andrew Hancock",3,"10 Schools Remaining","5'11""",HB,"198 lbs",1295,"South Gate",B,D,C,B,B,,B,B,D,D,C,C,B,B,D,D,D,D,D,D,D,D,D,B,,,,,,,,,,,,,,,"Boston College",,,,,,,,,
"Lionel Wheeler",3,"10 Schools Remaining","6'2""",SS,"216 lbs",1296,London,B,D,C,A,C,,C,B,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,C,B,C,,,,,Rutgers,Georgia,Tennessee,,,,,,,
"Abraham Keith",3,"10 Schools Remaining","6'3""",WR,"188 lbs",1297,"St. Louis Park",B,D,D,D,B,,A,A,D,D,D,D,D,D,B,C,,,,D,D,D,B,D,,,,,,,,,,,,,,,Louisville,,,,,,,,,
"Austin Goss",3,"10 Schools Remaining","6'0""",CB,"182 lbs",1298,Visalia,C,D,B,B,B,,D,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,C,B,,,,,UCLA,,,,,,,,,
"Kirk Herman",3,"10 Schools Remaining","6'3""",HB,"198 lbs",1299,Wagoner,A,D,D,B,C,,D,C,D,D,D,D,B,C,D,D,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,"Mississippi State",,,,,,,,,
"Johnny Stevenson",3,"10 Schools Remaining","6'1""",C,"279 lbs",1300,"San Antonio",D,B,D,B,D,,C,C,,,,,,,,,D,C,D,,,,,,,,,,,,,,,,,,,,"Kansas State",Navy,Army,"Louisiana Tech",Wyoming,,,,,
"Kalvin Ferguson",3,"10 Schools Remaining","6'2""",DE,"234 lbs",1301,Clinton,D,C,D,C,C,,D,C,,,,,,,,,,,,,,,,,D,C,D,D,D,D,C,,,,,,,,Clemson,Georgia,LSU,,,,,,,
"Kelly Williams",3,"10 Schools Remaining","6'6""",WR,"225 lbs",1302,Skokie,A,D,D,C,C,,C,B,D,D,D,D,D,D,A,D,,,,D,D,D,D,D,,,,,,,,,,,,,,,Northwestern,,,,,,,,,
"Carlos Lowe",3,"10 Schools Remaining","6'0""",OLB,"220 lbs",1303,"Fruit Heights",C,D,D,B,B,,C,B,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,TCU,,,,,,,,,
"Steven Johnson",3,"10 Schools Remaining","6'7""",DE,"262 lbs",1304,"New Kensington",D,C,D,C,D,,D,C,,,,,,,,,,,,,,,,,D,B,C,D,C,D,C,,,,,,,,Navy,,,,,,,,,
"Mike Maxwell",3,"10 Schools Remaining","6'4""",OLB,"217 lbs",1305,"Fair Oaks",C,C,D,B,B,,D,B,,,,,,,,,,,,,,,,,C,D,D,B,D,D,D,D,D,D,,,,,Arkansas,Duke,,,,,,,,
"Brandon Ward",3,"5 Schools Remaining","6'3""",T,"308 lbs",1306,Affton,D,C,D,C,D,,C,B,,,,,,,,,D,C,C,,,,,,,,,,,,,,,,,,,,Missouri,"Mississippi State",Vanderbilt,,,,,,,
"Derrick Branch",3,"10 Schools Remaining","6'4""",DE,"256 lbs",1307,Boaz,C,D,D,D,D,,D,B,,,,,,,,,,,,,,,,,C,C,C,D,D,D,B,,,,,,,,"Georgia Tech","Mississippi State",,,,,,,,
"Eric Hall",3,"10 Schools Remaining","6'0""",SS,"195 lbs",1308,Eloy,B,D,B,B,C,,C,B,,,,,,,,,,,,,,,,,C,C,D,D,D,D,D,D,D,D,,,,,Nevada,BYU,,,,,,,,
"Todd Snyder",3,"Soft Commit","6'0""",K,"198 lbs",1309,"Tysons Corner",D,D,D,D,D,,C,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,"Virginia Tech",Virginia,"Penn State",Maryland,Alabama,Florida,"Notre Dame","North Carolina",Marshall,
"Jason Hall",3,"10 Schools Remaining","6'3""",HB,"187 lbs",1310,Napili-Honokowai,B,D,C,B,C,,B,C,D,D,D,D,C,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,"San Diego State",,,,,,,,,
"Nick Larsen",3,"10 Schools Remaining","6'3""",G,"295 lbs",1311,Sterling,D,C,D,C,D,,D,D,,,,,,,,,C,D,C,,,,,,,,,,,,,,,,,,,,Stanford,,,,,,,,,
"Mark Rucker",3,"Soft Commit","6'0""",OLB,"211 lbs",1312,"Litchfield Park",C,B,D,B,D,,D,B,,,,,,,,,,,,,,,,,C,D,D,C,D,D,C,D,D,D,,,,,Baylor,,,,,,,,,
"Stephen Scales",3,"10 Schools Remaining","6'2""",OLB,"217 lbs",1313,"San Marcos",C,D,D,B,C,,C,C,,,,,,,,,,,,,,,,,C,D,D,C,D,D,D,D,D,D,,,,,"San Diego State","Fresno State","Oregon State",Arizona,Hawai'i,,,,,
"Frank Carter",3,"10 Schools Remaining","6'0""",WR,"202 lbs",1314,Simpsonville,B,D,C,D,B,,B,D,D,D,D,D,D,D,B,D,,,,D,D,D,C,D,,,,,,,,,,,,,,,Miami,,,,,,,,,
"Joel Lynch",3,"10 Schools Remaining","6'1""",OLB,"239 lbs",1315,Kalamazoo,C,C,D,B,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,C,D,D,C,D,D,D,,,,,"Ohio State",Michigan,,,,,,,,
"Will Bell",3,"Soft Commit","6'0""",FS,"180 lbs",1316,Kaysville,A,C,B,B,D,,C,A,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,B,,,,,Maryland,,,,,,,,,
"Max Williams",3,"Soft Commit","6'1""",QB,"209 lbs",1317,Oviedo,D,D,C,C,C,,B,C,C,D,C,D,D,D,D,D,,,,,,,,,,,,,,,,,,,B,D,,,"Mississippi State",,,,,,,,,
"Ryan Beverly",3,"Soft Commit","6'2""",DE,"228 lbs",1318,Annandale,D,C,D,C,C,,B,C,,,,,,,,,,,,,,,,,D,C,C,D,D,D,C,,,,,,,,Vanderbilt,ECU,,,,,,,,
"Zach Clark",3,"10 Schools Remaining","6'0""",K,"184 lbs",1319,Seymour,C,D,C,C,D,,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,"Notre Dame",Alabama,USC,Oklahoma,Georgia,"Ohio State",,,,
"Justin Woods",3,"10 Schools Remaining","6'4""",DT,"301 lbs",1320,"Highland Springs",D,C,D,C,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,C,C,C,,,,,,,,"West Virginia",,,,,,,,,
"Charlie Koch",3,"10 Schools Remaining","6'1""",CB,"195 lbs",1321,Kissimmee,B,D,C,B,B,,B,C,,,,,,,,,,,,,,,,,D,C,D,D,D,D,D,D,D,D,,,,,"Florida State",,,,,,,,,
"Justin Allen",3,"10 Schools Remaining","6'3""",DE,"244 lbs",1322,Corrales,D,C,D,C,C,,D,B,,,,,,,,,,,,,,,,,D,B,D,D,C,D,C,,,,,,,,Texas,LSU,,,,,,,,
"Seth Mitchell",3,"10 Schools Remaining","6'1""",WR,"173 lbs",1323,Brockton,B,D,D,B,C,,B,C,D,D,D,D,D,D,B,D,,,,D,C,D,D,D,,,,,,,,,,,,,,,"West Virginia","Boston College",Michigan,,,,,,,
"R.J. Mills",3,"10 Schools Remaining","5'11""",FS,"180 lbs",1324,"Pearl River",C,D,B,B,D,,C,C,,,,,,,,,,,,,,,,,D,B,D,D,D,D,D,D,D,D,,,,,Syracuse,,,,,,,,,
"Rian Williams",3,"10 Schools Remaining","6'6""",DE,"267 lbs",1325,"Temple Terrace",D,D,D,D,D,,B,B,,,,,,,,,,,,,,,,,D,B,D,D,C,D,B,,,,,,,,"Wake Forest",,,,,,,,,
"Mike Harris",3,"10 Schools Remaining","6'5""",TE,"240 lbs",1326,Harrington,C,D,D,D,D,,B,B,D,D,D,D,D,D,D,D,D,D,D,B,D,D,C,D,,,,,,,,,,,,,,,"Boston College",,,,,,,,,
"Jeff Williams",3,"10 Schools Remaining","6'1""",SS,"182 lbs",1327,Bath,B,C,B,B,B,,C,B,,,,,,,,,,,,,,,,,C,B,D,D,D,D,D,D,D,B,,,,,Arkansas,,,,,,,,,
"Kelvin Tremblay",3,"Soft Commit","6'3""",SS,"206 lbs",1328,Brookside,B,D,A,C,C,,B,B,,,,,,,,,,,,,,,,,D,C,C,D,D,D,D,D,D,D,,,,,"Boston College","West Virginia",Rutgers,UCF,,,,,,
"Dan Barrett",3,"Soft Commit","6'1""",SS,"180 lbs",1329,Washington,C,D,D,B,B,,B,C,,,,,,,,,,,,,,,,,C,C,D,D,D,D,D,D,C,C,,,,,Rutgers,,,,,,,,,
"Robert Williams",3,"10 Schools Remaining","6'2""",G,"322 lbs",1330,"Columbia Falls",D,D,D,C,D,,D,C,,,,,,,,,B,C,C,,,,,,,,,,,,,,,,,,,,Wyoming,,,,,,,,,
"Aaron Brown",3,"10 Schools Remaining","6'1""",SS,"213 lbs",1331,Wausau,C,D,B,B,B,,B,C,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,C,C,,,,,Purdue,Iowa,"Michigan State",Illinois,Missouri,Wisconsin,,,,
"Paul Ward",3,"10 Schools Remaining","6'1""",HB,"190 lbs",1332,Graniteville,B,D,C,C,C,,D,C,D,D,D,C,B,C,D,D,D,D,D,D,D,D,C,C,,,,,,,,,,,,,,,Army,,,,,,,,,
"David Rush",3,"10 Schools Remaining","6'4""",T,"275 lbs",1333,Dulce,D,D,D,C,D,,D,B,,,,,,,,,D,C,C,,,,,,,,,,,,,,,,,,,,Nevada,,,,,,,,,
"Zac O'Neal",3,"10 Schools Remaining","5'11""",HB,"207 lbs",1334,Exeter,B,D,C,B,C,,C,C,D,D,D,C,C,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Army,,,,,,,,,
"Art James",3,"10 Schools Remaining","5'9""",HB,"195 lbs",1335,Statesboro,B,D,D,B,C,,B,B,D,D,D,C,D,B,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,"South Carolina",,,,,,,,,
"Joe Smith",3,"10 Schools Remaining","6'2""",OLB,"235 lbs",1336,Smyrna,C,D,D,C,D,,C,C,,,,,,,,,,,,,,,,,B,D,C,C,D,D,D,D,D,D,,,,,Vanderbilt,"Wake Forest",,,,,,,,
"James Ingram",3,"10 Schools Remaining","6'3""",DE,"255 lbs",1337,"Villa Rica",D,D,D,D,D,,C,B,,,,,,,,,,,,,,,,,C,C,B,C,D,D,C,,,,,,,,"North Carolina",UCF,,,,,,,,
"Robert Brown",3,"10 Schools Remaining","6'2""",QB,"205 lbs",1338,Cairo,C,D,C,C,C,,B,B,D,D,C,D,D,D,D,D,,,,,,,,,,,,,,,,,,,C,D,,,"Virginia Tech",Alabama,Arkansas,Georgia,"NC State",,,,,
"Curtis Lyles",3,"10 Schools Remaining","6'4""",T,"272 lbs",1339,Douglas,D,C,D,B,D,,C,C,,,,,,,,,C,C,D,,,,,,,,,,,,,,,,,,,,"Georgia Tech",,,,,,,,,
"Ronnie Carter",3,"Soft Commit","6'2""",P,"180 lbs",1340,Tamarac,D,D,D,D,D,,B,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,Florida,Georgia,"Florida State",Miami,Maryland,Auburn,"South Carolina",Tennessee,,
"James Edwards",3,"10 Schools Remaining","6'2""",OLB,"215 lbs",1341,Derby,C,C,D,C,C,,B,C,,,,,,,,,,,,,,,,,C,C,D,C,D,D,D,D,D,C,,,,,TCU,Oregon,USC,Clemson,,,,,,
"Derron Walker",3,"10 Schools Remaining","6'1""",CB,"184 lbs",1342,Houlton,B,D,B,A,C,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,C,,,,,Syracuse,,,,,,,,,
"Chris Meade",3,"10 Schools Remaining","6'5""",DE,"255 lbs",1343,Mableton,D,C,D,C,D,,C,D,,,,,,,,,,,,,,,,,D,D,D,D,C,C,D,,,,,,,,"NC State",,,,,,,,,
"J.J. Rankin",3,"10 Schools Remaining","6'1""",CB,"194 lbs",1344,Marietta,B,D,C,B,C,,B,B,,,,,,,,,,,,,,,,,D,D,C,C,D,D,D,D,D,C,,,,,Toledo,,,,,,,,,
"Jared Tyson",3,"10 Schools Remaining","6'2""",WR,"193 lbs",1345,Thomasville,B,D,D,C,B,,B,C,D,D,D,D,D,D,A,D,,,,D,C,C,C,D,,,,,,,,,,,,,,,Alabama,"Georgia Tech",USC,Tennessee,,,,,,
"Ryan Nixon",3,"10 Schools Remaining","6'2""",DE,"262 lbs",1346,Marietta,D,D,D,C,D,,C,B,,,,,,,,,,,,,,,,,D,D,D,D,C,D,D,,,,,,,,Miami,,,,,,,,,
"Jesse Pollock",3,"10 Schools Remaining","6'5""",T,"309 lbs",1347,"South Miami Hts",D,B,D,A,D,,C,B,,,,,,,,,D,B,D,,,,,,,,,,,,,,,,,,,,UCF,,,,,,,,,
"Mike Clay",3,"10 Schools Remaining","6'3""",DT,"275 lbs",1348,Sweetwater,D,C,D,D,D,,D,B,,,,,,,,,,,,,,,,,D,D,C,D,D,D,C,,,,,,,,"Georgia Tech",Houston,Virginia,Syracuse,,,,,,
"Phillip Stewart",3,"10 Schools Remaining","6'0""",OLB,"242 lbs",1349,"Temple Terrace",D,B,D,D,D,,C,B,,,,,,,,,,,,,,,,,C,C,D,D,D,B,D,D,B,D,,,,,"Florida State",Florida,Clemson,,,,,,,
"Donald Olsen",3,"10 Schools Remaining","6'4""",OLB,"208 lbs",1350,Largo,C,D,D,C,D,,D,B,,,,,,,,,,,,,,,,,B,C,D,D,D,D,D,D,D,D,,,,,"Wake Forest",,,,,,,,,
"Lorenzo Smith",3,"10 Schools Remaining","6'1""",CB,"186 lbs",1351,Kissimmee,C,D,A,C,C,,B,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,B,D,B,,,,,Georgia,Clemson,,,,,,,,
"Matt Mueller",3,"10 Schools Remaining","6'5""",G,"305 lbs",1352,Immokalee,D,B,D,C,D,,D,B,,,,,,,,,C,C,D,,,,,,,,,,,,,,,,,,,,ECU,,,,,,,,,
"Ryan Kelly",3,"10 Schools Remaining","6'1""",OLB,"225 lbs",1353,"Deerfield Beach",C,C,D,B,D,,B,B,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,"Virginia Tech","Oklahoma State",,,,,,,,
"Phillip Montgomery",3,"10 Schools Remaining","6'2""",K,"209 lbs",1354,"Mineral Wells",D,D,D,D,D,,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,D,Texas,Baylor,LSU,Houston,Colorado,"Texas Tech","Oklahoma State","Air Force",Wyoming,"UL Monroe"
"Matt Bailey",3,"5 Schools Remaining","6'4""",DT,"276 lbs",1355,Kingsville,D,D,D,D,D,,D,B,,,,,,,,,,,,,,,,,C,B,C,D,B,C,D,,,,,,,,Colorado,Tulsa,"Kansas State",,,,,,,
"Derek Thompson",3,"10 Schools Remaining","5'11""",CB,"192 lbs",1356,Watauga,C,D,C,B,C,,C,D,,,,,,,,,,,,,,,,,D,D,D,C,D,D,D,C,C,C,,,,,BYU,,,,,,,,,
"Courtney Reed",3,"10 Schools Remaining","6'5""",C,"326 lbs",1357,Weatherford,D,B,D,C,D,,C,C,,,,,,,,,D,C,C,,,,,,,,,,,,,,,,,,,,Wyoming,Texas,LSU,"Oklahoma State",,,,,,
"Josh Greene",3,"10 Schools Remaining","6'5""",T,"294 lbs",1358,Graham,D,C,D,B,D,,D,C,,,,,,,,,C,C,D,,,,,,,,,,,,,,,,,,,,"Arkansas State",Baylor,,,,,,,,
"Tyrell Ellison",3,"10 Schools Remaining","6'2""",DT,"252 lbs",1359,Groves,D,D,D,D,D,,C,B,,,,,,,,,,,,,,,,,D,B,C,D,D,C,C,,,,,,,,SMU,,,,,,,,,
"Jeremy Wright",3,"10 Schools Remaining","6'6""",OLB,"239 lbs",1360,"Lake Worth",C,C,D,D,D,,D,C,,,,,,,,,,,,,,,,,C,C,D,C,D,D,D,D,D,D,,,,,Miami,,,,,,,,,
"Cody Walker",3,"10 Schools Remaining","6'2""",WR,"213 lbs",1361,Pasadena,C,D,D,D,B,,C,B,D,D,D,D,D,D,B,C,,,,D,D,C,C,D,,,,,,,,,,,,,,,SMU,,,,,,,,,
"Ryan Clark",3,"10 Schools Remaining","6'6""",G,"286 lbs",1362,"Port Charlotte",D,C,D,B,D,,D,B,,,,,,,,,D,C,B,,,,,,,,,,,,,,,,,,,,Florida,Georgia,UCF,"Florida State",,,,,,
"Justin Phillips",3,"10 Schools Remaining","6'3""",G,"303 lbs",1363,"Union City",D,D,D,B,D,,D,C,,,,,,,,,B,D,D,,,,,,,,,,,,,,,,,,,,"Fresno State",,,,,,,,,
"Jerome Young",3,"10 Schools Remaining","6'3""",C,"281 lbs",1364,"San Ramon",D,C,D,C,D,,D,B,,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,Stanford,Washington,UCLA,,,,,,,
"Justin Cox",3,"10 Schools Remaining","6'0""",DE,"256 lbs",1365,"Cathedral City",D,D,D,C,D,,D,C,,,,,,,,,,,,,,,,,B,D,C,D,B,C,D,,,,,,,,"Fresno State",,,,,,,,,
"Jason Howe",3,"10 Schools Remaining","6'5""",SS,"208 lbs",1366,Colleyville,C,C,D,C,C,,C,C,,,,,,,,,,,,,,,,,B,C,D,D,D,D,D,D,D,D,,,,,Tulane,,,,,,,,,
"Marcus Haynes",3,"10 Schools Remaining","6'2""",CB,"175 lbs",1367,Tustin,B,D,B,B,C,,C,B,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,D,D,D,,,,,"Oregon State",,,,,,,,,
"Justin Allen",3,"Soft Commit","6'3""",C,"290 lbs",1368,"Deer Park",D,B,D,B,D,,D,C,,,,,,,,,B,C,C,,,,,,,,,,,,,,,,,,,,TCU,Baylor,Houston,USC,,,,,,
"Ed Simpson",3,"10 Schools Remaining","6'0""",DT,"270 lbs",1369,"San Benito",D,D,D,D,D,,D,C,,,,,,,,,,,,,,,,,D,C,C,D,D,C,C,,,,,,,,BYU,Colorado,Oregon,Cal,,,,,,
"Bo Campbell",3,"10 Schools Remaining","6'5""",FS,"186 lbs",1370,"El Cajon",B,D,D,C,C,,C,B,,,,,,,,,,,,,,,,,D,C,C,C,D,D,D,C,D,D,,,,,Cal,Oregon,,,,,,,,
"Leonard Powell",3,"Soft Commit","6'0""",QB,"205 lbs",1371,"El Cajon",C,D,C,D,D,,C,C,C,D,D,D,C,B,D,C,,,,,,,,,,,,,,,,,,,C,D,,,Nevada,Hawai'i,,,,,,,,
"George Sullivan",3,"10 Schools Remaining","5'11""",SS,"210 lbs",1372,"Fort Worth",C,B,D,C,B,,B,B,,,,,,,,,,,,,,,,,D,D,C,D,D,D,B,D,C,C,,,,,"Texas A&M",Texas,,,,,,,,
"Julius Powell",3,"10 Schools Remaining","6'4""",DE,"243 lbs",1373,Dickinson,D,D,D,B,D,,C,C,,,,,,,,,,,,,,,,,D,D,C,D,D,D,B,,,,,,,,Utah,,,,,,,,,
"Adam Moore",3,"10 Schools Remaining","5'9""",HB,"166 lbs",1374,Gainesville,B,D,B,C,C,,B,C,D,D,C,C,C,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,FIU,,,,,,,,,
"Nathan Ball",3,"10 Schools Remaining","6'4""",OLB,"222 lbs",1375,Lauderhill,B,C,D,B,D,,C,A,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,"Mississippi State","Texas Tech",,,,,,,,
"Buster Hill",3,"10 Schools Remaining","6'1""",MLB,"227 lbs",1376,Amarillo,B,C,D,A,D,,C,C,,,,,,,,,,,,,,,,,D,D,D,D,D,C,D,C,D,D,,,,,Texas,LSU,Wisconsin,Georgia,,,,,,
"James May",3,"10 Schools Remaining","6'0""",SS,"197 lbs",1377,"La Porte",B,D,C,B,C,,C,C,,,,,,,,,,,,,,,,,C,D,D,D,D,D,D,D,D,D,,,,,SMU,,,,,,,,,
"Tyson Cox",3,"10 Schools Remaining","6'6""",G,"289 lbs",1378,Alvin,D,C,D,B,D,,C,C,,,,,,,,,C,C,D,,,,,,,,,,,,,,,,,,,,"Texas Tech",Baylor,Nevada,,,,,,,
"Patrick Hadley",3,"10 Schools Remaining","6'2""",HB,"219 lbs",1379,Kirby,C,D,B,B,D,,C,C,D,C,D,C,C,D,D,D,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,"Texas Tech",,,,,,,,,
"Julius Anderson",3,"Soft Commit","6'1""",QB,"210 lbs",1380,Clovis,C,D,D,D,D,,B,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,C,C,,,UCLA,Stanford,Nevada,Hawai'i,,,,,,
"Brent Greer",3,"10 Schools Remaining","6'1""",HB,"213 lbs",1381,Harahan,B,D,C,D,C,,B,C,D,D,D,D,C,D,D,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,"Louisiana Tech",,,,,,,,,
"Nehemiah Pendleton",3,"10 Schools Remaining","6'3""",TE,"234 lbs",1382,Pasadena,D,D,C,D,D,,C,C,D,D,D,D,D,D,D,D,D,D,D,C,D,D,D,C,,,,,,,,,,,,,,,"San Diego State",,,,,,,,,
"Roger Samuel",3,"10 Schools Remaining","6'1""",HB,"206 lbs",1383,Pearland,C,D,C,D,D,,B,B,D,D,C,D,D,B,D,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Nevada,,,,,,,,,
"Nick Lamb",3,"10 Schools Remaining","6'1""",HB,"194 lbs",1384,Vidor,B,D,D,C,C,,D,C,D,D,C,D,C,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,"Arkansas State",,,,,,,,,
